city,tribe
花蓮縣,秀林鄉公所
花蓮縣,紅葉部落
花蓮縣,花縣萬榮國小行政大樓中間二樓柱子
花蓮縣,花蓮市公所
花蓮縣,花蓮縣政府
花蓮縣,苓雅仔部落
花蓮縣,華東部落
花蓮縣,萬榮鄉公所
花蓮縣,萬榮鄉原住民文物館
花蓮縣,豐濱部落
花蓮縣,豐濱鄉公所
花蓮縣,豐羽計畫
花蓮縣,達蘭埠部落
花蓮縣,都旮薾部落
花蓮縣,重光部落
花蓮縣,阿陶莫-加里洞
花蓮縣,阿陶莫部落
花蓮縣,阿飛赫部落
花蓮縣,靜浦部落
花蓮縣,馬佛部落
花蓮縣,馬太林部落
花蓮縣,馬太鞍部落
花蓮縣,鯉魚潭
花蓮縣,鳳信部落
花蓮縣,鳳林鎮公所
苗栗縣,司馬限部落
苗栗縣,圓墩部落
苗栗縣,天狗部落
苗栗縣,斯瓦細格部落
苗栗縣,瓦祿部落
苗栗縣,細道邦部落
苗栗縣,馬那邦部落
高雄市,多納部落
高雄市,瑪雅部落
高雄市,達卡努瓦部落
高雄市,高中部落
高雄縣,建山部落
高雄縣,茂林部落
